# time   E(kJ/mol) U(kJ/mol) K(kJ/mol) T(K)     P(MPa)
#Substance=Ar N=500 L=69.243556 T=100.000000 runtime=12.000000 dt=0.005000 seed=17 equil=3.000000
3.005000 0.906540 -0.341271 1.247811 100.052837 1.712052
3.010000 0.906540 -0.341878 1.248418 100.101480 1.712258
3.015000 0.906539 -0.342423 1.248962 100.145099 1.713097
3.020000 0.906538 -0.342895 1.249433 100.182863 1.714627
3.025000 0.906537 -0.343283 1.249821 100.213953 1.717284
3.030000 0.906537 -0.343578 1.250115 100.237533 1.720848
3.035000 0.906536 -0.343769 1.250305 100.252764 1.725586
3.040000 0.906535 -0.343845 1.250380 100.258833 1.731379
3.045000 0.906534 -0.343798 1.250332 100.254961 1.738427
3.050000 0.906533 -0.343617 1.250150 100.240385 1.747032
3.055000 0.906532 -0.343294 1.249826 100.214371 1.756997
3.060000 0.906532 -0.342819 1.249351 100.176280 1.768706
3.065000 0.906531 -0.342188 1.248719 100.125599 1.781815
3.070000 0.906530 -0.341395 1.247926 100.062000 1.796498
3.075000 0.906530 -0.340440 1.246970 99.985410 1.812621
3.080000 0.906530 -0.339326 1.245856 99.896091 1.830225
3.085000 0.906531 -0.338061 1.244592 99.794684 1.849405
3.090000 0.906532 -0.336659 1.243190 99.682318 1.869759
3.095000 0.906533 -0.335141 1.241674 99.560710 1.890921
3.100000 0.906535 -0.333536 1.240071 99.432186 1.912560
3.105000 0.906537 -0.331881 1.238419 99.299699 1.934652
3.110000 0.906540 -0.330221 1.236761 99.166765 1.956397
3.115000 0.906543 -0.328604 1.235146 99.037337 1.977216
3.120000 0.906546 -0.327082 1.233628 98.915615 1.996834
3.125000 0.906549 -0.325710 1.232258 98.805767 2.014377
3.130000 0.906551 -0.324534 1.231085 98.711652 2.029566
3.135000 0.906553 -0.323595 1.230147 98.636502 2.041870
3.140000 0.906553 -0.322923 1.229476 98.582648 2.050818
3.145000 0.906553 -0.322532 1.229085 98.551318 2.056789
3.150000 0.906552 -0.322424 1.228976 98.542537 2.059266
3.155000 0.906550 -0.322584 1.229134 98.555206 2.058699
3.160000 0.906547 -0.322985 1.229533 98.587220 2.055225
3.165000 0.906545 -0.323593 1.230137 98.635700 2.049239
3.170000 0.906542 -0.324364 1.230906 98.697306 2.040654
3.175000 0.906539 -0.325255 1.231794 98.768548 2.030389
3.180000 0.906537 -0.326225 1.232761 98.846100 2.018636
3.185000 0.906535 -0.327236 1.233771 98.927046 2.006036
3.190000 0.906534 -0.328261 1.234794 99.009099 1.992829
3.195000 0.906533 -0.329279 1.235813 99.090751 1.978837
3.200000 0.906534 -0.330284 1.236818 99.171361 1.964491
3.205000 0.906535 -0.331278 1.237813 99.251142 1.949795
3.210000 0.906536 -0.332274 1.238810 99.331096 1.934603
3.215000 0.906538 -0.333292 1.239830 99.412885 1.918533
3.220000 0.906541 -0.334358 1.240899 99.498591 1.902077
3.225000 0.906543 -0.335502 1.242045 99.590453 1.884348
3.230000 0.906545 -0.336749 1.243294 99.690600 1.865290
3.235000 0.906546 -0.338122 1.244668 99.800813 1.844615
3.240000 0.906547 -0.339637 1.246184 99.922333 1.822431
3.245000 0.906548 -0.341300 1.247847 100.055736 1.798381
3.250000 0.906547 -0.343110 1.249657 100.200867 1.773070
3.255000 0.906547 -0.345057 1.251603 100.356870 1.746096
3.260000 0.906545 -0.347121 1.253666 100.522303 1.717895
3.265000 0.906544 -0.349279 1.255823 100.695262 1.688850
3.270000 0.906543 -0.351504 1.258047 100.873524 1.658949
3.275000 0.906541 -0.353765 1.260306 101.054685 1.628914
3.280000 0.906540 -0.356031 1.262570 101.236266 1.598983
3.285000 0.906538 -0.358272 1.264810 101.415840 1.569280
3.290000 0.906537 -0.360459 1.266996 101.591123 1.540298
3.295000 0.906536 -0.362566 1.269102 101.760003 1.512504
3.300000 0.906535 -0.364570 1.271105 101.920600 1.485795
3.305000 0.906534 -0.366450 1.272984 102.071249 1.460800
3.310000 0.906534 -0.368187 1.274721 102.210531 1.437626
3.315000 0.906533 -0.369769 1.276302 102.337292 1.416290
3.320000 0.906533 -0.371182 1.277715 102.450611 1.397051
3.325000 0.906533 -0.372419 1.278952 102.549764 1.380029
3.330000 0.906533 -0.373472 1.280005 102.634248 1.365366
3.335000 0.906533 -0.374339 1.280872 102.703763 1.353122
3.340000 0.906533 -0.375018 1.281551 102.758175 1.343224
3.345000 0.906534 -0.375508 1.282042 102.797531 1.335622
3.350000 0.906534 -0.375813 1.282347 102.822027 1.330576
3.355000 0.906535 -0.375937 1.282472 102.831995 1.327938
3.360000 0.906535 -0.375886 1.282421 102.827931 1.327592
3.365000 0.906536 -0.375667 1.282203 102.810478 1.329564
3.370000 0.906536 -0.375292 1.281828 102.780391 1.333366
3.375000 0.906537 -0.374769 1.281306 102.738570 1.339204
3.380000 0.906538 -0.374113 1.280652 102.686068 1.347042
3.385000 0.906539 -0.373339 1.279878 102.624048 1.356334
3.390000 0.906540 -0.372461 1.279002 102.553755 1.367124
3.395000 0.906541 -0.371497 1.278038 102.476489 1.379338
3.400000 0.906542 -0.370462 1.277004 102.393569 1.392622
3.405000 0.906543 -0.369372 1.275916 102.306310 1.406734
3.410000 0.906544 -0.368245 1.274789 102.215953 1.421767
3.415000 0.906545 -0.367092 1.273637 102.123613 1.437446
3.420000 0.906545 -0.365927 1.272473 102.030247 1.453239
3.425000 0.906546 -0.364759 1.271305 101.936614 1.469622
3.430000 0.906546 -0.363595 1.270141 101.843287 1.486107
3.435000 0.906546 -0.362440 1.268986 101.750686 1.502666
3.440000 0.906546 -0.361298 1.267844 101.659103 1.519394
3.445000 0.906546 -0.360170 1.266716 101.568705 1.536131
3.450000 0.906546 -0.359059 1.265605 101.479576 1.552831
3.455000 0.906546 -0.357964 1.264510 101.391794 1.569401
3.460000 0.906546 -0.356887 1.263433 101.305440 1.585965
3.465000 0.906546 -0.355829 1.262375 101.220619 1.602262
3.470000 0.906546 -0.354793 1.261339 101.137497 1.618247
3.475000 0.906546 -0.353780 1.260326 101.056276 1.634306
3.480000 0.906546 -0.352793 1.259340 100.977204 1.649838
3.485000 0.906546 -0.351837 1.258384 100.900550 1.664948
3.490000 0.906547 -0.350915 1.257461 100.826610 1.679738
3.495000 0.906547 -0.350031 1.256578 100.755735 1.693926
3.500000 0.906547 -0.349190 1.255737 100.688317 1.707715
3.505000 0.906547 -0.348397 1.254944 100.624769 1.720710
3.510000 0.906548 -0.347658 1.254205 100.565518 1.732948
3.515000 0.906548 -0.346977 1.253525 100.510987 1.744522
3.520000 0.906548 -0.346361 1.252910 100.461628 1.755200
3.525000 0.906548 -0.345816 1.252364 100.417897 1.765019
3.530000 0.906549 -0.345346 1.251894 100.380237 1.774025
3.535000 0.906549 -0.344956 1.251505 100.349048 1.781775
3.540000 0.906549 -0.344653 1.251202 100.324690 1.788597
3.545000 0.906549 -0.344438 1.250987 100.307468 1.794066
3.550000 0.906549 -0.344314 1.250864 100.297597 1.798752
3.555000 0.906549 -0.344284 1.250834 100.295190 1.802201
3.560000 0.906549 -0.344347 1.250897 100.300221 1.804249
3.565000 0.906549 -0.344501 1.251050 100.312551 1.805077
3.570000 0.906548 -0.344743 1.251292 100.331922 1.804720
3.575000 0.906548 -0.345068 1.251616 100.357930 1.803339
3.580000 0.906548 -0.345469 1.252017 100.390054 1.801005
3.585000 0.906547 -0.345939 1.252486 100.427684 1.797853
3.590000 0.906546 -0.346469 1.253015 100.470120 1.793594
3.595000 0.906546 -0.347050 1.253595 100.516610 1.788877
3.600000 0.906545 -0.347671 1.254216 100.566370 1.783478
3.605000 0.906545 -0.348323 1.254868 100.618636 1.777667
3.610000 0.906544 -0.348998 1.255542 100.672704 1.771162
3.615000 0.906544 -0.349687 1.256230 100.727904 1.764494
3.620000 0.906543 -0.350382 1.256925 100.783627 1.757590
3.625000 0.906543 -0.351077 1.257620 100.839360 1.750582
3.630000 0.906543 -0.351767 1.258310 100.894661 1.743540
3.635000 0.906543 -0.352447 1.258990 100.949157 1.736307
3.640000 0.906542 -0.353113 1.259655 101.002531 1.729211
3.645000 0.906542 -0.353762 1.260304 101.054523 1.721970
3.650000 0.906542 -0.354390 1.260933 101.104935 1.715227
3.655000 0.906542 -0.354997 1.261539 101.153598 1.708252
3.660000 0.906542 -0.355580 1.262122 101.200325 1.701738
3.665000 0.906542 -0.356137 1.262679 101.244957 1.695170
3.670000 0.906542 -0.356666 1.263208 101.287349 1.688962
3.675000 0.906542 -0.357164 1.263706 101.327340 1.683201
3.680000 0.906542 -0.357631 1.264173 101.364759 1.677756
3.685000 0.906542 -0.358064 1.264605 101.399436 1.672495
3.690000 0.906541 -0.358460 1.265001 101.431174 1.667507
3.695000 0.906541 -0.358816 1.265358 101.459751 1.663210
3.700000 0.906541 -0.359131 1.265672 101.484936 1.659309
3.705000 0.906541 -0.359400 1.265941 101.506517 1.655840
3.710000 0.906541 -0.359622 1.266162 101.524272 1.652997
3.715000 0.906541 -0.359793 1.266333 101.537983 1.650647
