Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
6	:	1648014001.560	   181.769	0	0	0	0	./lj Ar_T=80_density=1_seed#=5 Ar 80 1 500 2000 0.025 5 1000 F
10	:	1648014001.568	   182.720	0	0	0	0	./lj Ar_T=80_density=2_seed#=0 Ar 80 2 500 2000 0.025 0 1000 F
11	:	1648014001.570	   182.726	0	0	0	0	./lj Ar_T=80_density=2_seed#=1 Ar 80 2 500 2000 0.025 1 1000 F
5	:	1648014001.558	   183.036	0	0	0	0	./lj Ar_T=80_density=1_seed#=4 Ar 80 1 500 2000 0.025 4 1000 F
9	:	1648014001.566	   183.036	0	0	0	0	./lj Ar_T=80_density=1_seed#=8 Ar 80 1 500 2000 0.025 8 1000 F
7	:	1648014001.562	   184.208	0	0	0	0	./lj Ar_T=80_density=1_seed#=6 Ar 80 1 500 2000 0.025 6 1000 F
12	:	1648014001.572	   184.378	0	0	0	0	./lj Ar_T=80_density=2_seed#=2 Ar 80 2 500 2000 0.025 2 1000 F
1	:	1648014001.549	   184.726	0	0	0	0	./lj Ar_T=80_density=1_seed#=0 Ar 80 1 500 2000 0.025 0 1000 F
4	:	1648014001.555	   184.819	0	0	0	0	./lj Ar_T=80_density=1_seed#=3 Ar 80 1 500 2000 0.025 3 1000 F
2	:	1648014001.551	   184.848	0	0	0	0	./lj Ar_T=80_density=1_seed#=1 Ar 80 1 500 2000 0.025 1 1000 F
14	:	1648014001.576	   185.029	0	0	0	0	./lj Ar_T=80_density=2_seed#=4 Ar 80 2 500 2000 0.025 4 1000 F
15	:	1648014001.579	   185.269	0	0	0	0	./lj Ar_T=80_density=2_seed#=5 Ar 80 2 500 2000 0.025 5 1000 F
8	:	1648014001.564	   185.458	0	0	0	0	./lj Ar_T=80_density=1_seed#=7 Ar 80 1 500 2000 0.025 7 1000 F
13	:	1648014001.574	   186.429	0	0	0	0	./lj Ar_T=80_density=2_seed#=3 Ar 80 2 500 2000 0.025 3 1000 F
3	:	1648014001.553	   186.903	0	0	0	0	./lj Ar_T=80_density=1_seed#=2 Ar 80 1 500 2000 0.025 2 1000 F
16	:	1648014001.581	   187.095	0	0	0	0	./lj Ar_T=80_density=2_seed#=6 Ar 80 2 500 2000 0.025 6 1000 F
17	:	1648014183.333	   185.542	0	0	0	0	./lj Ar_T=80_density=2_seed#=7 Ar 80 2 500 2000 0.025 7 1000 F
18	:	1648014184.291	   185.466	0	0	0	0	./lj Ar_T=80_density=2_seed#=8 Ar 80 2 500 2000 0.025 8 1000 F
21	:	1648014184.605	   208.667	0	0	0	0	./lj Ar_T=80_density=3_seed#=2 Ar 80 3 500 2000 0.025 2 1000 F
22	:	1648014185.774	   207.723	0	0	0	0	./lj Ar_T=80_density=3_seed#=3 Ar 80 3 500 2000 0.025 3 1000 F
24	:	1648014186.278	   210.211	0	0	0	0	./lj Ar_T=80_density=3_seed#=5 Ar 80 3 500 2000 0.025 5 1000 F
19	:	1648014184.300	   212.710	0	0	0	0	./lj Ar_T=80_density=3_seed#=0 Ar 80 3 500 2000 0.025 0 1000 F
20	:	1648014184.598	   212.759	0	0	0	0	./lj Ar_T=80_density=3_seed#=1 Ar 80 3 500 2000 0.025 1 1000 F
32	:	1648014188.680	   211.823	0	0	0	0	./lj Ar_T=80_density=4_seed#=4 Ar 80 4 500 2000 0.025 4 1000 F
23	:	1648014185.953	   216.059	0	0	0	0	./lj Ar_T=80_density=3_seed#=4 Ar 80 3 500 2000 0.025 4 1000 F
30	:	1648014188.006	   215.737	0	0	0	0	./lj Ar_T=80_density=4_seed#=2 Ar 80 4 500 2000 0.025 2 1000 F
25	:	1648014186.378	   218.328	0	0	0	0	./lj Ar_T=80_density=3_seed#=6 Ar 80 3 500 2000 0.025 6 1000 F
28	:	1648014186.851	   218.062	0	0	0	0	./lj Ar_T=80_density=4_seed#=0 Ar 80 4 500 2000 0.025 0 1000 F
29	:	1648014187.025	   218.059	0	0	0	0	./lj Ar_T=80_density=4_seed#=1 Ar 80 4 500 2000 0.025 1 1000 F
27	:	1648014186.610	   221.718	0	0	0	0	./lj Ar_T=80_density=3_seed#=8 Ar 80 3 500 2000 0.025 8 1000 F
31	:	1648014188.459	   221.757	0	0	0	0	./lj Ar_T=80_density=4_seed#=3 Ar 80 4 500 2000 0.025 3 1000 F
26	:	1648014186.403	   224.326	0	0	0	0	./lj Ar_T=80_density=3_seed#=7 Ar 80 3 500 2000 0.025 7 1000 F
34	:	1648014369.761	   216.128	0	0	0	0	./lj Ar_T=80_density=4_seed#=6 Ar 80 4 500 2000 0.025 6 1000 F
33	:	1648014368.880	   221.261	0	0	0	0	./lj Ar_T=80_density=4_seed#=5 Ar 80 4 500 2000 0.025 5 1000 F
39	:	1648014397.360	   203.052	0	0	0	0	./lj Ar_T=80_density=5_seed#=2 Ar 80 5 500 2000 0.025 2 1000 F
35	:	1648014393.319	   212.151	0	0	0	0	./lj Ar_T=80_density=4_seed#=7 Ar 80 4 500 2000 0.025 7 1000 F
45	:	1648014405.088	   202.797	0	0	0	0	./lj Ar_T=80_density=5_seed#=8 Ar 80 5 500 2000 0.025 8 1000 F
36	:	1648014393.501	   215.302	0	0	0	0	./lj Ar_T=80_density=4_seed#=8 Ar 80 4 500 2000 0.025 8 1000 F
37	:	1648014396.494	   215.029	0	0	0	0	./lj Ar_T=80_density=5_seed#=0 Ar 80 5 500 2000 0.025 0 1000 F
38	:	1648014397.015	   215.140	0	0	0	0	./lj Ar_T=80_density=5_seed#=1 Ar 80 5 500 2000 0.025 1 1000 F
43	:	1648014404.710	   209.263	0	0	0	0	./lj Ar_T=80_density=5_seed#=6 Ar 80 5 500 2000 0.025 6 1000 F
40	:	1648014400.508	   213.740	0	0	0	0	./lj Ar_T=80_density=5_seed#=3 Ar 80 5 500 2000 0.025 3 1000 F
41	:	1648014402.016	   213.517	0	0	0	0	./lj Ar_T=80_density=5_seed#=4 Ar 80 5 500 2000 0.025 4 1000 F
42	:	1648014403.748	   214.185	0	0	0	0	./lj Ar_T=80_density=5_seed#=5 Ar 80 5 500 2000 0.025 5 1000 F
44	:	1648014404.917	   214.707	0	0	0	0	./lj Ar_T=80_density=5_seed#=7 Ar 80 5 500 2000 0.025 7 1000 F
48	:	1648014410.734	   209.190	0	0	0	0	./lj Ar_T=80_density=6_seed#=2 Ar 80 6 500 2000 0.025 2 1000 F
46	:	1648014408.331	   214.876	0	0	0	0	./lj Ar_T=80_density=6_seed#=0 Ar 80 6 500 2000 0.025 0 1000 F
47	:	1648014410.221	   214.926	0	0	0	0	./lj Ar_T=80_density=6_seed#=1 Ar 80 6 500 2000 0.025 1 1000 F
49	:	1648014585.894	   202.453	0	0	0	0	./lj Ar_T=80_density=6_seed#=3 Ar 80 6 500 2000 0.025 3 1000 F
50	:	1648014590.147	   207.347	0	0	0	0	./lj Ar_T=80_density=6_seed#=4 Ar 80 6 500 2000 0.025 4 1000 F
54	:	1648014608.807	   193.039	0	0	0	0	./lj Ar_T=80_density=6_seed#=8 Ar 80 6 500 2000 0.025 8 1000 F
51	:	1648014600.416	   203.469	0	0	0	0	./lj Ar_T=80_density=6_seed#=5 Ar 80 6 500 2000 0.025 5 1000 F
52	:	1648014605.474	   201.417	0	0	0	0	./lj Ar_T=80_density=6_seed#=6 Ar 80 6 500 2000 0.025 6 1000 F
55	:	1648014611.527	   204.493	0	0	0	0	./lj Ar_T=80_density=7_seed#=0 Ar 80 7 500 2000 0.025 0 1000 F
56	:	1648014612.160	   204.470	0	0	0	0	./lj Ar_T=80_density=7_seed#=1 Ar 80 7 500 2000 0.025 1 1000 F
53	:	1648014607.890	   210.439	0	0	0	0	./lj Ar_T=80_density=6_seed#=7 Ar 80 6 500 2000 0.025 7 1000 F
62	:	1648014619.928	   198.601	0	0	0	0	./lj Ar_T=80_density=7_seed#=7 Ar 80 7 500 2000 0.025 7 1000 F
57	:	1648014613.978	   205.685	0	0	0	0	./lj Ar_T=80_density=7_seed#=2 Ar 80 7 500 2000 0.025 2 1000 F
60	:	1648014617.937	   207.667	0	0	0	0	./lj Ar_T=80_density=7_seed#=5 Ar 80 7 500 2000 0.025 5 1000 F
58	:	1648014614.252	   211.365	0	0	0	0	./lj Ar_T=80_density=7_seed#=3 Ar 80 7 500 2000 0.025 3 1000 F
63	:	1648014623.212	   203.140	0	0	0	0	./lj Ar_T=80_density=7_seed#=8 Ar 80 7 500 2000 0.025 8 1000 F
59	:	1648014615.538	   211.100	0	0	0	0	./lj Ar_T=80_density=7_seed#=4 Ar 80 7 500 2000 0.025 4 1000 F
61	:	1648014619.628	   213.648	0	0	0	0	./lj Ar_T=80_density=7_seed#=6 Ar 80 7 500 2000 0.025 6 1000 F
64	:	1648014625.152	   217.240	0	0	0	0	./lj Ar_T=80_density=8_seed#=0 Ar 80 8 500 2000 0.025 0 1000 F
